Index,First Four,First Round,Second Round,Sweet 16,Elite 8,Semifinals,Final,
1,Norfolk St.,Baylor,,,,,,
2,Drake,Wisconsin,,,,,,
3,UCLA,Villanova,,,,,,
4,Texas Southern,North Texas,,,,,,
5,,Texas Tech,,,,,,
6,,Arkansas,,,,,,
7,,Florida,,,,,,
8,,Oral Roberts,,,,,,
9,,Illinois,,,,,,
10,,Loyola Chicago,,,,,,
11,,Oregon St.,,,,,,
12,,Oklahoma St.,,,,,,
13,,Syracuse,,,,,,
14,,West Virginia,,,,,,
15,,Rutgers,,,,,,
16,,Houston,,,,,,
17,,Gonzaga,,,,,,
18,,Oklahoma,,,,,,
19,,Creighton,,,,,,
20,,Ohio,,,,,,
21,,USC,,,,,,
22,,Kansas,,,,,,
23,,Oregon,,,,,,
24,,Iowa,,,,,,
25,,Michigan,,,,,,
26,,LSU,,,,,,
27,,Colorado,,,,,,
28,,Florida St.,,,,,,
29,,UCLA,,,,,,
30,,Abilene Christian,,,,,,
31,,Maryland,,,,,,
32,,Alabama,,,,,,
